id,long,lat
31TEJ4,3.930000,43.570000
31TEK1,3.320000,44.930000
31TEK2,3.310000,44.480000
31TEK3,3.950000,44.920000
31TEK4,3.940000,44.470000
31TEL1,3.320000,45.830000
31TEL2,3.320000,45.380000
31TEL3,3.970000,45.820000
31TEL4,3.960000,45.370000
31TEM1,3.330000,46.730000
31TEM2,3.320000,46.280000
31TEM3,3.980000,46.720000
31TEM4,3.970000,46.270000
31TEN1,3.330000,47.630000
31TEN2,3.330000,47.180000
31TEN3,4.000000,47.620000
31TEN4,3.990000,47.170000
31TFH3,5.150000,43.110000
31TFJ1,4.560000,44.020000
31TFJ2,4.550000,43.570000
31TFJ3,5.180000,44.010000
31TFJ4,5.170000,43.560000
31TFK1,4.580000,44.920000
31TFK2,4.570000,44.470000
31TFK3,5.220000,44.910000
31TFK4,5.200000,44.460000
31TFL1,4.610000,45.820000
31TFL2,4.600000,45.370000
31TFL3,5.250000,45.810000
31TFL4,5.230000,45.360000
31TFM1,4.640000,46.720000
31TFM2,4.620000,46.270000
31TFM3,5.290000,46.710000
31TFM4,5.270000,46.260000
31TFN1,4.660000,47.620000
31TFN2,4.650000,47.170000
31TFN3,5.330000,47.600000
31TFN4,5.310000,47.160000
31TGH1,5.730000,43.100000
31TGJ1,5.750000,44.000000
31TGJ2,5.740000,43.550000
31TGK1,5.770000,44.890000
31TGK2,5.760000,44.450000
31TGL1,5.790000,45.790000
31TGL2,5.780000,45.340000
31TGM1,6.000000,46.690000
31TGM2,6.000000,46.240000
31TGN1,6.000000,47.590000
31TGN2,6.000000,47.140000
31UCP1,0.630000,48.500000
31UCP2,0.650000,48.050000
31UCP3,1.310000,48.520000
31UCP4,1.320000,48.070000
31UCQ1,0.590000,49.400000
31UCQ2,0.610000,48.950000
31UCQ3,1.280000,49.410000
31UCQ4,1.290000,48.970000
31UCR2,0.570000,49.850000
31UCR3,1.240000,50.310000
31UCR4,1.260000,49.860000
31UCS1,0.430000,51.200000
31UCS2,0.440000,50.750000
31UCS3,1.210000,51.210000
31UCS4,1.230000,50.760000
31UCT1,0.400000,52.100000
31UCT2,0.420000,51.650000
31UCT3,1.170000,52.110000
31UCT4,1.190000,51.660000
31UCU1,0.380000,53.000000
31UCU2,0.390000,52.550000
31UCU3,1.140000,53.010000
31UCU4,1.160000,52.560000
31UCV2,0.370000,53.450000
31UDP1,1.980000,48.520000
31UDP2,1.990000,48.070000
31UDP3,2.660000,48.530000
31UDP4,2.660000,48.080000
31UDQ1,1.970000,49.420000
31UDQ2,1.980000,48.970000
31UDQ3,2.660000,49.430000
31UDQ4,2.660000,48.980000
31UDR1,1.950000,50.320000
31UDR2,1.960000,49.870000
31UDR3,2.650000,50.330000
31UDR4,2.650000,49.880000
31UDS2,1.940000,50.770000
31UDS3,2.640000,51.230000
31UDS4,2.650000,50.780000
31UDT1,1.900000,52.120000
31UDU2,1.890000,52.570000
31UEP1,3.340000,48.530000
31UEP2,3.340000,48.080000
31UEP3,4.020000,48.520000
31UEP4,4.010000,48.070000
31UEQ1,3.340000,49.430000
31UEQ2,3.340000,48.980000
31UEQ3,4.030000,49.420000
31UEQ4,4.020000,48.970000
31UER1,3.350000,50.330000
31UER2,3.350000,49.880000
31UER3,4.050000,50.320000
31UER4,4.040000,49.870000
31UES1,3.360000,51.230000
31UES2,3.350000,50.780000
31UES3,4.070000,51.220000
31UES4,4.060000,50.770000
31UET2,3.360000,51.680000
31UET3,4.100000,52.120000
31UET4,4.080000,51.670000
31UFP1,4.690000,48.520000
31UFP2,4.680000,48.070000
31UFP3,5.370000,48.500000
31UFP4,5.350000,48.050000
31UFQ1,4.720000,49.410000
31UFQ2,4.710000,48.970000
31UFQ3,5.410000,49.400000
31UFQ4,5.390000,48.950000
31UFR1,4.760000,50.310000
31UFR2,4.740000,49.860000
31UFR3,5.550000,50.300000
31UFR4,5.430000,49.850000
31UFS1,4.790000,51.210000
31UFS2,4.770000,50.760000
31UFS3,5.570000,51.200000
31UFS4,5.560000,50.750000
31UFT1,4.830000,52.110000
31UFT2,4.810000,51.660000
31UFT3,5.600000,52.100000
31UFT4,5.580000,51.650000
31UFU1,4.860000,53.010000
31UFU2,4.840000,52.560000
31UFU3,5.620000,53.000000
31UFU4,5.610000,52.550000
31UFV2,4.880000,53.460000
31UFV4,5.630000,53.450000
31UGP1,6.000000,48.490000
31UGP2,6.000000,48.040000
31UGQ1,6.000000,49.390000
32SMJ1,8.130000,39.520000
32SMJ2,8.130000,39.070000
32SMJ3,8.710000,39.520000
32SMJ4,8.710000,39.070000
32SMK4,8.710000,39.970000
32SNJ1,9.290000,39.520000
32SNJ2,9.290000,39.070000
32SNK2,9.290000,39.970000
32SNK4,9.880000,39.970000
32TKN3,6.270000,43.100000
32TKP3,6.250000,44.000000
32TKP4,6.260000,43.550000
32TKQ3,6.230000,44.890000
32TKQ4,6.240000,44.450000
32TKR3,6.210000,45.790000
32TKR4,6.220000,45.340000
32TLP1,6.820000,44.010000
32TLP2,6.830000,43.560000
32TLP3,7.440000,44.020000
32TLP4,7.450000,43.570000
32TLQ1,6.780000,44.910000
32TLQ2,6.800000,44.460000
32TLQ3,7.420000,44.920000
32TLQ4,7.430000,44.470000
32TLR1,6.750000,45.810000
32TLR2,6.770000,45.360000
32TLR3,7.390000,45.820000
32TLR4,7.400000,45.370000
32TLS1,6.710000,46.710000
32TLS2,6.730000,46.260000
